MIDI File: Furelise.mid
Tempo: 120 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 1
Consolidated Instrument Tracks: 1

Instrument: Piano (Consolidated)
  Note: E5, Time: 0.02s, Duration: 0.21s, Velocity: 0.63
  Note: D#5, Time: 0.23s, Duration: 0.24s, Velocity: 0.65
  Note: E5, Time: 0.49s, Duration: 0.27s, Velocity: 0.52
  Note: D#5, Time: 0.75s, Duration: 0.24s, Velocity: 0.56
  Note: E5, Time: 1.01s, Duration: 0.26s, Velocity: 0.66
  Note: B4, Time: 1.29s, Duration: 0.20s, Velocity: 0.70
  Note: D5, Time: 1.48s, Duration: 0.22s, Velocity: 0.79
  Note: C5, Time: 1.72s, Duration: 0.25s, Velocity: 0.79
  Note: A4, Time: 2.00s, Duration: 0.49s, Velocity: 0.79
  Note: A2, Time: 2.01s, Duration: 0.24s, Velocity: 0.79
  Note: E3, Time: 2.25s, Duration: 0.24s, Velocity: 0.79
  Note: A3, Time: 2.49s, Duration: 0.25s, Velocity: 0.79
  Note: C4, Time: 2.74s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 2.99s, Duration: 0.27s, Velocity: 0.79
  Note: A4, Time: 3.26s, Duration: 0.23s, Velocity: 0.79
  Note: E2, Time: 3.48s, Duration: 0.25s, Velocity: 0.79
  Note: B4, Time: 3.49s, Duration: 0.51s, Velocity: 0.79
  Note: E3, Time: 3.73s, Duration: 0.26s, Velocity: 0.79
  Note: G#3, Time: 4.00s, Duration: 0.27s, Velocity: 0.79
  Note: E4, Time: 4.27s, Duration: 0.22s, Velocity: 0.79
  Note: G#4, Time: 4.49s, Duration: 0.25s, Velocity: 0.79
  Note: B4, Time: 4.77s, Duration: 0.22s, Velocity: 0.79
  Note: A2, Time: 4.98s, Duration: 0.24s, Velocity: 0.79
  Note: C5, Time: 4.99s, Duration: 0.50s, Velocity: 0.79
  Note: E3, Time: 5.22s, Duration: 0.27s, Velocity: 0.79
  Note: A3, Time: 5.50s, Duration: 0.25s, Velocity: 0.79
  Note: E4, Time: 5.74s, Duration: 0.25s, Velocity: 0.79
  Note: E5, Time: 5.99s, Duration: 0.25s, Velocity: 0.79
  Note: D#5, Time: 6.24s, Duration: 0.25s, Velocity: 0.79
  Note: E5, Time: 6.49s, Duration: 0.26s, Velocity: 0.79
  Note: D#5, Time: 6.76s, Duration: 0.24s, Velocity: 0.79
  Note: E5, Time: 6.99s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 7.24s, Duration: 0.24s, Velocity: 0.79
  Note: D5, Time: 7.50s, Duration: 0.21s, Velocity: 0.79
  Note: C5, Time: 7.72s, Duration: 0.27s, Velocity: 0.79
  Note: A4, Time: 8.00s, Duration: 0.49s, Velocity: 0.79
  Note: A2, Time: 8.01s, Duration: 0.23s, Velocity: 0.79
  Note: E3, Time: 8.23s, Duration: 0.28s, Velocity: 0.79
  Note: A3, Time: 8.48s, Duration: 0.25s, Velocity: 0.79
  Note: C4, Time: 8.76s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 9.00s, Duration: 0.24s, Velocity: 0.79
  Note: A4, Time: 9.25s, Duration: 0.23s, Velocity: 0.79
  Note: E2, Time: 9.48s, Duration: 0.25s, Velocity: 0.79
  Note: B4, Time: 9.49s, Duration: 0.49s, Velocity: 0.79
  Note: E3, Time: 9.74s, Duration: 0.24s, Velocity: 0.79
  Note: G#3, Time: 10.00s, Duration: 0.25s, Velocity: 0.79
  Note: E4, Time: 10.25s, Duration: 0.24s, Velocity: 0.79
  Note: C5, Time: 10.50s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 10.76s, Duration: 0.22s, Velocity: 0.79
  Note: A2, Time: 10.99s, Duration: 0.24s, Velocity: 0.79
  Note: A4, Time: 10.99s, Duration: 0.49s, Velocity: 0.79
  Note: E3, Time: 11.22s, Duration: 0.25s, Velocity: 0.79
  Note: A3, Time: 11.49s, Duration: 0.26s, Velocity: 0.79
  Note: E4, Time: 11.74s, Duration: 0.23s, Velocity: 0.79
  Note: E5, Time: 12.00s, Duration: 0.21s, Velocity: 0.79
  Note: D#5, Time: 12.21s, Duration: 0.24s, Velocity: 0.79
  Note: E5, Time: 12.47s, Duration: 0.27s, Velocity: 0.79
  Note: D#5, Time: 12.72s, Duration: 0.24s, Velocity: 0.79
  Note: E5, Time: 12.98s, Duration: 0.26s, Velocity: 0.79
  Note: B4, Time: 13.27s, Duration: 0.20s, Velocity: 0.79
  Note: D5, Time: 13.46s, Duration: 0.22s, Velocity: 0.79
  Note: C5, Time: 13.70s, Duration: 0.25s, Velocity: 0.79
  Note: A4, Time: 13.97s, Duration: 0.49s, Velocity: 0.79
  Note: A2, Time: 13.98s, Duration: 0.24s, Velocity: 0.79
  Note: E3, Time: 14.22s, Duration: 0.24s, Velocity: 0.79
  Note: A3, Time: 14.47s, Duration: 0.25s, Velocity: 0.79
  Note: C4, Time: 14.72s, Duration: 0.24s, Velocity: 0.79
  Note: E4, Time: 14.97s, Duration: 0.27s, Velocity: 0.79
  Note: A4, Time: 15.23s, Duration: 0.23s, Velocity: 0.79
  Note: E2, Time: 15.46s, Duration: 0.25s, Velocity: 0.79
  Note: B4, Time: 15.47s, Duration: 0.51s, Velocity: 0.79
  Note: E3, Time: 15.71s, Duration: 0.26s, Velocity: 0.79
  Note: G#3, Time: 15.97s, Duration: 0.27s, Velocity: 0.79
  Note: E4, Time: 16.24s, Duration: 0.22s, Velocity: 0.79
  Note: G#4, Time: 16.47s, Duration: 0.25s, Velocity: 0.79
