MIDI File: FlyMeToTheMoon.mid
Tempo: 128 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 19
Consolidated Instrument Tracks: 7

Instrument: Alto Sax
  (No notes for this instrument)

Instrument: Drum Kit / Percussion
  Note: B1 (Acoustic Bass Drum), Time: 3.75s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 3.75s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 4.22s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 4.22s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 4.56s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 4.69s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 4.69s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 5.16s, Duration: 0.10s, Velocity: 0.67
  Note: F#2 (Closed Hi-Hat), Time: 5.16s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 5.50s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 5.63s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 5.63s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 6.09s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 6.09s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 6.44s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 6.56s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 6.56s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 7.03s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 7.03s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 7.38s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 7.50s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 7.50s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 7.97s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 7.97s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 8.31s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 8.44s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 8.44s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 8.91s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 8.91s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 9.25s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 9.38s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 9.38s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 9.84s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 9.84s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 10.19s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 10.31s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 10.31s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 10.78s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 10.78s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 11.13s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 11.25s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 11.25s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 11.72s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 11.72s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 12.06s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 12.19s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 12.19s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 12.66s, Duration: 0.10s, Velocity: 0.63
