MIDI File: Carly Rae Jepsen - Call Me Maybe.mid
Tempo: 119 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 5
Consolidated Instrument Tracks: 4

Instrument: Drum Kit / Percussion
  Note: B1 (Acoustic Bass Drum), Time: 0.49s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 0.49s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 1.00s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 1.00s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 1.50s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 1.50s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 2.01s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 2.01s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 2.51s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 2.51s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 3.01s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 3.01s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 3.52s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 3.52s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 4.02s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 4.02s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 4.53s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 4.53s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 5.03s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 5.03s, Duration: 0.13s, Velocity: 0.39
